2018-04-17 10:32:06,319 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,320 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2018-04-17 10:32:06,320 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,320 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,321 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,321 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,325 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 112,128K total; 699,392K max; 57,021K free 
2018-04-17 10:32:06,326 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,326 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2018-04-17 10:32:06,327 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,327 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,327 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,328 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,340 [main] INFO  (ExistRepository.java [getRepository]:186) - Using directory /usr/local/diae/data/expathrepo for expath package repository 
2018-04-17 10:32:06,590 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 117,760K total; 699,392K max; 98,792K free 
2018-04-17 10:32:06,591 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,591 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2018-04-17 10:32:06,591 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,592 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,592 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,592 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,665 [main] INFO  (Configurator.java [save]:1244) - Storing configuration /db/system/security/exist/accounts/admin.xml 
2018-04-17 10:32:06,748 [main] INFO  (NativeBroker.java [removeXMLResource]:2641) - Removing document admin.xml (4) ... 
2018-04-17 10:32:06,759 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 117,760K total; 699,392K max; 94,575K free 
2018-04-17 10:32:06,759 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,760 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2018-04-17 10:32:06,760 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,761 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,761 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,761 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,768 [main] INFO  (BrokerPool.java [shutdown]:1899) - Database is shutting down ... 
2018-04-17 10:32:06,843 [main] INFO  (NativeBroker.java [sync]:3588) - Memory: 117,760K total; 699,392K max; 93,309K free 
2018-04-17 10:32:06,843 [main] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,843 [main] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 100% 
2018-04-17 10:32:06,843 [main] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,844 [main] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2018-04-17 10:32:06,844 [main] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,844 [main] INFO  (BFile.java [printStatistics]:436) - values.dbx DATA Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
2018-04-17 10:32:06,845 [main] INFO  (Journal.java [shutdown]:484) - Transaction journal cleanly shutting down with checkpoint... 
2018-04-17 10:32:06,845 [main] INFO  (FileLock.java [release]:189) - Deleting lock file: /usr/local/diae/data/journal.lck 
2018-04-17 10:32:06,916 [main] INFO  (FileLock.java [release]:189) - Deleting lock file: /usr/local/diae/data/dbx_dir.lck 
2018-04-17 10:32:06,916 [main] INFO  (BrokerPool.java [shutdown]:2036) - shutdown complete ! 
